名称	最大值	最小值	基值	格式	精度	序号	
id_kp	32767	0	2	1024	0.001	16385		 
id_ki	32767	0	1	1024	0.001	16386
iq_kp	32767	0	1	1024	0.001	8208
iq_ki	32767	0	1	1024	0.001	8209
spd_kp	32767	0	1	1024	0.001	8210
spd_ki	32767	0	1	1024	0.001	8211
OvCurrProtect	32767	0	1	4096	0.001	8212
OvDcProtect	32767	0	1	4096	0.001	8213
UdDcProtect	32767	0	1	4096	0.001	8214
OvSpdProtect	32767	0	1	4096	0.001	8215
DCurrCmd	32767	0	1	4096	0.001	8216
DCurrMaxPhase	32767	0	1	4096	0.001	8217
dummy_sci	32767	0	1	1	1	8220
OpenPhase_Enable	32767	0	1	1	1	8221
test_Debug	32767	0	1	1	1	8222
test_Handle	32767	0	1	1	1	8223
test_throttle	32767	0	1	1	1	8240
test_loop	32767	0	1	1	1	8239
Dlog1	32767	-32767	1	1	1	8224
Dlog2	32767	-32767	1	1	1	8225
Dlog3	32767	-32767	1	1	1	8226
Dlog4	32767	-32767	1	1	1	8227
SpeedC_Kp	32767	0	1	1024	0.001	8228
SpeedC_Ki	32767	0	1	1024	0.001	8229
SpeedC_SpeedRamp	32767	0	1	4096	0.001	8230
SpeedC_TrqRamp	32767	0	1	4096	0.0001	8231
SpeedS_Kp	32767	0	1	1024	0.001	8232
SpeedS_Ki	32767	0	1	1024	0.001	8233
SpeedS_SpeedRamp	32767	0	1	4096	0.001	8234
SpeedS_TrqRamp	32767	0	1	4096	0.001	8235
PosHold_Kp	32767	0	1	1024	0.001	8236
PosHold_Kd	32767	0	1	1024	0.001	8237
PositionHold	32767	0	1	1	0.001	8238
display	32767	0	1	1	1	8445
password	32767	0	1	1	1	8446
autoTr	32767	0	1	1	1	8241
tr	32767	0	1	1	1	8241
mtr_dir	32767	0	1	1	1	8303
mtr_temp_mode	32767	0	1	1	1	8245
neg_scale	32767	-32767	1	1024	0.01	8246
BDI	100	0	1	1	1	8247
mtr_dir	1	0	1	1	1	8303
mtr_step	100	0	1	1	1	8302
kt_scale	32767	0	1	4096	0.001	8243
kt_offset	32767	0	1	4096	0.001	8244
Short_Enable	1	0	1	1	1	8249
losEn	1	0	1	1	1	8252
Speed_High2ForHandle	32767	0	6000	4096	1	8253
Speed_For2HighHandle	32767	0	6000	4096	1	8254
Cap_MaxRatio	32767	0	1	4096	0.001	8256
Cap_MinRatio	32767	0	1	4096	0.001	8257
Spd_flt_Freq	32767	0	1	1	1	8258
Speed_max	32767	0	6000	4096	1	8259
Speed_min	32767	0	6000	4096	1	8260
cap_offset	32767	0	1	1	1	8261
cap_scale	32767	0	1	1	1	8262
Torque_Ramp	32767	0	1	1	1	8251
SPI_RATE	32767	0	1	1	1	8392
efficient	32767	0	1	4096	0.001	8255
Resolver_Offset	4095	0	1	1	1	8250
Resolver_Scale	32767	-32767	1	1	1	8258
Ic_scale_ee	65535	0	1	4096	0.001	16460
Ib_scale_ee	65535	0	1	4096	0.001	16461




