控制模式	控制量	单位	最大值	最小值	基值	格式	精度	序号
电压环	Vd	V	10000	-10000	100	4096	0.1	8201
电压环	Vq	V	10000	-10000	100	4096	0.1	8202
电压环	Omega	RPM	10000	-10000	6000	4096	1	8205
电流环	Id	A	10000	-10000	600	4096	0.01	8199
电流环	Iq	A	10000	-10000	600	4096	0.01	8200
电流环	Omega	RPM	10000	-10000	6000	4096	0.1	8205
力矩环	Trq	N*M	10000	-10000	100	4096	0.1	8203
力矩环	Omega	RPM	10000	-10000	6000	4096	0.1	8205
速度环	Id	A	10000	-10000	600	4096	0.1	8199
速度环	Spd	RPM	10000	-10000	6000	4096	1	8204
速度环	Omega	RPM	10000	-10000	6000	4096	0.1	8205
