名称	单位	基值	格式	精度	序号	位	页
MotorTemp	℃	200	16384	0.1	0	0	0
MosfetTemp	℃	200	16384	0.1	1	0	0
vd	V	100	16384	0.1	2	0	0
vq	V	100	16384	0.1	3	0	0
Vdq	V	100	16384	0.1	4	0	0
VDC	V	100	16384	0.1	5	0	0
Id_Ref	A	600	16384	0.1	6	0	0
Iq_Ref	A	600	16384	0.1	7	0	0
Id_Fbk	A	600	16384	0.1	8	0	0
Iq_Fbk	A	600	16384	0.1	9	0	0
Speed_Ref	RPM	6000	16384	0.1	10	0	0
Speed_Fbk	RPM	6000	16384	0.1	11	0	0
Fault	PU	1	1	0.1	12	0	0
Torque_Ref	Nm	100	16384	0.1	13	0	0
Torque_Fbk	Nm	100	16384	0.1	14	0	0
ThetaQEP	。	1	1	1	15	0	0
ThetaRDC	。	1	1	1	16	0	0
sysState	PU	1	1	1	17	0	0
MotorLoop	PU	1	1	1	18	0	0
MotorTemp	℃	200	16384	0.1	0	0	1
MosfetTemp	℃	200	16384	0.1	1	0	1
ENCODE A	PU	1	1	1	2	0	1
ENCODE B	PU	1	1	1	3	0	1
Ws	RPM	6000	16384	0.1	4	0	1
Vksi	V	100	16384	0.1	5	0	1
theta	A	4096	16384	0.1	6	0	1
We	RPM	6000	16384	0.1	7	0	1
Id_Fbk	A	600	16384	0.1	8	0	1
Iq_Fbk	A	600	16384	0.1	9	0	1
Ia_Fbk	RPM	600	16384	0.1	10	0	1
Speed_Fbk	RPM	6000	16384	0.1	11	0	1
Fault	PU	1	1	0.1	12	0	1
Ib_Fbk	Nm	600	16384	0.1	13	0	1
Ic_Fbk	Nm	600	16384	0.1	14	0	1
speed_cap	V	6000	16384	0.1	15	0	1
Throttle2	V	5	16384	0.1	16	0	1
sysState	V	1	1	1	17	0	1
MotorLoop	V	1	1	1	18	0	1
MotorTemp	℃	200	16384	0.1	0	0	2
MosfetTemp	℃	200	16384	0.1	1	0	2
MotorCurrent	A	600	16384	0.1	2	0	2
FaultCode	PU	1	1	1	3	0	2
Vbus	V	100	16384	0.1	4	0	2
Vksi	V	100	16384	0.1	5	0	2
BDI	%	1	1	0.1	6	0	2
RunTime	min	1	1	0.1	7	0	2
Power	KW	62.8338	16384	0.1	8	0	2
Torque	Nm	100	16384	0.1	9	0	2
Speed	RPM	6000	16384	0.1	10	0	2
Throttle1	V	5	16384	0.1	11	0	2
Throttle2	V	5	16384	0.1	12	0	2
Throttle1	V	5	16384	0.1	11	0	3
Throttle2	V	5	16384	0.1	12	0	3
Throttle1	V	5	16384	0.1	11	0	4
Throttle2	V	5	16384	0.1	12	0	4
AD_0	V	5	16384	0.1	0	0	5
AD_1	V	5	16384	0.1	1	0	5
AD_2	V	5	16384	0.1	2	0	5
AD_3	V	5	16384	0.1	3	0	5
AD_4	V	5	16384	0.1	4	0	5
AD_5	V	5	16384	0.1	5	0	5
AD_6	V	5	16384	0.1	6	0	5
AD_7	V	5	16384	0.1	7	0	5
AD_8	V	5	16384	0.1	8	0	5
AD_9	V	5	16384	0.1	9	0	5
AD_10	V	5	16384	0.1	10	0	5
AD_11	V	5	16384	0.1	11	0	5
AD_12	V	5	16384	0.1	12	0	5
AD_13	V	5	16384	0.1	13	0	5
AD_14	V	5	16384	0.1	14	0	5
AD_15	V	5	16384	0.1	15	0	5
DIN1	PU	1	1	1	0	0	6
DIN2	PU	1	1	1	1	0	6
DIN3	PU	1	1	1	2	0	6
DIN4	PU	1	1	1	3	0	6
DIN5	PU	1	1	1	4	0	6
DIN6	PU	1	1	1	5	0	6
DIN7	PU	1	1	1	6	0	6
DIN8	PU	1	1	1	7	0	6
Throttle1	V	5	16384	0.1	8	0	6
Throttle2	V	5	16384	0.1	9	0	6
Icont1	A	3	16384	0.1	10	0	6
Icont2	A	3	16384	0.1	11	0	6
Motor_Lqpu	V	100	16384	0.1	0	0	7
Motor_Vrd	V	100	16384	0.1	1	0	7
Motor_Vrq	V	100	16384	0.1	2	0	7
Motor_Fluxd	V	100	16384	0.1	3	0	7
Motor_Fluxq	V	100	16384	0.1	4	0	7
Motor_vdffd	V	100	16384	0.1	5	0	7
Motor_vqffd	V	100	16384	0.1	6	0	7
Vd_feedforward	V	100	16384	0.1	7	0	7
Vq_feedforward	V	100	16384	0.1	8	0	7
pid_id1.Out	V	100	16384	0.1	9	0	7
pid_iq1.Out	V	100	16384	0.1	10	0	7
