名称	最大值	最小值	基值	格式	精度	序号
TargetVersion	32767	0	1	10	0.1	16386
SoftwareVersion	32767	0	1	10	0.1	16387
SerialNumber	32767	0	1	1	1	16388
VehicleWorkMode	1	0	1	1	1	16389
MotorWorkMode	1	0	1	1	1	16390
Typer_Max_Speed_rpm	20000	500	1	1	1	16391
Torque_Base_NM	1000	0	1	1	1	16392
Max_Speed_SpM_%	32767	0	100	32767	0.1	16393
Kaff_SpM_A	5000	0	1	10	0.1	16394
Kbff_SpM_A	5000	0	1	10	0.1	16395
Ka_b_BuiltRate_SpM_s	5000	100	1	1000	0.1	16396
Ka_b_ReleaseRat_SpM_s	5000	100	1	1000	0.1	16397
Full_Accel_Rate_HS_SpM_s	30000	100	1	1000	0.1	16398
Full_Accel_Rate_LS_SpM_s	30000	100	1	1000	0.1	16399
Low_Accel_Rate_SpM_s	30000	100	1	1000	0.1	16400
Neutral_Decel_Rate_HS_SpM_s	30000	100	1	1000	0.1	16401
Neutral_Decel_Rate_LS_SpM_s	30000	100	1	1000	0.1	16402
Full_Brake_Rate_HS_SpM_s	30000	100	1	1000	0.1	16403
Full_Brake_Rate_LS_SpM_s	30000	100	1	1000	0.1	16404
Low_Brake_Rate_SpM_s	30000	100	1	1000	0.1	16405
Partial_Decel_Rate_SpM_s	30000	100	1	1000	0.1	16406
High_Speed_SpM_%	32767	0	100	32767	0.1	16407
Low_Speed_SpM_%	32767	0	100	32767	0.1	16408
Reversal_Soften_SpM_%	32767	0	100	32767	0.1	16409
Max_Speed_Accel_SpM_s	30000	100	1	1000	0.1	16410
Max_Speed_Decel_SpM_s	30000	100	1	1000	0.1	16411
soft_stop_Speed_SpM_%	32767	0	100	32767	0.1	16412
Max_Speed_TM_%	32767	0	100	32767	0.1	16413
Accel_Rate_TM_s	30000	100	1	1000	0.1	16414
Accel_Release_Rate_TM_s	20000	100	1	1000	0.1	16415
Brake_Rate_TM_s	5000	100	1	1000	0.1	16416
Brake_Release_Rate_TM_s	2000	100	1	1000	0.1	16417
Neutral_Braking_TM_%	32767	0	100	32767	0.1	16418
Neutral_Typer_Speed_% 	32767	0	100	32767	0.1	16419
Creep_Torque_TM_%	32767	0	100	32767	0.1	16420
Brake_Full_Creep_Cancel_TM_%	32767	8192	100	32767	0.1	16421
Creep_Build_Rate_TM_s	5000	100	1	1000	0.1	16422
Creep_Release_Rate_TM_s	5000	100	1	1000	0.1	16423
Gear_Soften_TM_%	32767	0	100	32767	0.1	16424
Brake_Typer_Speed_TM_%	32767	0	100	32767	0.1	16425
Reversal_Soften_TM_%	32767	0	100	32767	0.1	16426
Max_Speed_Decel_TM_s	30000	100	1	1000	0.1	16427
Restraint_Forward_%	32767	0	100	32767	0.1	16428
Restraint_Back_%	32767	0	100	32767	0.1	16429
Drive_Current_Limit_%	32767	1638	100	32767	0.1	16430
Regen_Current_Limit_%	32767	1638	100	32767	0.1	16431
Brake_Current_Limit_%	32767	1638	100	32767	0.1	16432
EMR_Current_Limit_%	32767	1638	100	32767	0.1	16433
Interlock_Brake_Limit_%	32767	1638	100	32767	0.1	16434
Nominal_Speed_PLM_%	32767	1638	100	32767	0.1	16435
Delta_Speed_PLM_%	32767	1638	100	32767	0.1	16436
Nominal_PM_%	32767	0	100	32767	0.1	16437
Plus_Delta_PM_%	32767	0	100	32767	0.1	16438
Plus_2xDelta_PM_%	32767	0	100	32767	0.1	16439
Plus_4xDelta_PM_%	32767	0	100	32767	0.1	16440
Plus_8xDelta_PM_%	32767	0	100	32767	0.1	16441
Nominal_EM_%	32767	0	100	32767	0.1	16442
Plus_Delta_EM_%	32767	0	100	32767	0.1	16443
Plus_2xDelta_EM_%	32767	0	100	32767	0.1	16444
Plus_4xDelta_EM_%	32767	0	100	32767	0.1	16445
Plus_8xDelta_EM_%	32767	0	100	32767	0.1	16446
Nominal_RLM_%	32767	0	100	32767	0.1	16447
Plus_Delta_RLM_%	32767	0	100	32767	0.1	16448
Plus_2xDelta_RLM_%	32767	0	100	32767	0.1	16449
Plus_4xDelta_RLM_%	32767	0	100	32767	0.1	16450
Plus_8xDelta_RLM_%	32767	0	100	32767	0.1	16451
Throttle_Type	5	0	1	1	1	16452
Throttle_Chk_Range	3276	0	100	32767	0.001	16453
Forward_Deadband_v	32767	0	5	32767	0.01	16454
Forward_Map_%	32767	0	100	32767	1	16455
Forward_Max_v	32767	0	5	32767	0.01	16456
Forward_Offset_%	32767	0	100	32767	1	16457
Reverse_Deadband_v	32767	0	5	32767	0.01	16458
Reverse_Map_%	32767	0	100	32767	1	16459
Reverse_Max_v	32767	0	5	32767	0.01	16460
Reverse_Offset_%	32767	0	100	32767	1	16461
Throttle_Ctr_En	1	0	1	1	1	16462
Throttle_Value_%	32767	0	100	32767	0.1	16463
Brake_Pedal_Enable	1	0	1	1	1	16464
Brake_Type	5	1	1	1	1	16465
Brake_Deadband_v	32767	0	5	32767	0.01	16466
Brake_Map_%	32767	0	100	32767	1	16467
Brake_Max_v	32767	0	5	32767	0.01	16468
Brake_Offset_%	32767	0	100	32767	1	16469
Brake_Ctr_En	1	0	1	1	1	16470
Brake_Value_%	32767	0	100	32767	0.1	16471
LosCtr_En      	1	0	1	1	1	16472
Motor_Temp_En	1	0	1	1	1	16473
Motor_Temp_Hot_℃	2500	0	1	10	1	16474
Motor_Temp_Max_℃	2500	0	1	10	1	16475
MCU_Temp_En 	1	0	1	1	1	16476
MCU_Temp_Hot_℃	2500	0	1	10	0.1	16477
MCU_Temp_Max_℃	2500	0	1	10	0.1	16478
MCU_LowTemp_En	1	0	1	1	1	16479
MCU_Temp_Cool	400	0	1	10	0.1	16480
MCU_Temp_min	400	0	1	10	0.1	16481
Nominal_Voltage_v	10000	0	1	10	0.1	16482
UnderVol_Cutback_En	1	0	1	1	1	16483
UnderVol_Cutback_Range_v	200	0	1	10	0.1	16484
User_UnderVoltage_%	3277	2048	100	4096	0.1	16485
OverVol_Cutback_En	1	0	1	1	1	16486
OverVol_Cutback_Range_v	200	0	1	10	0.1	16487
User_OverVoltage_%	8192	4710	100	4096	0.1	16488
