控制模式	控制量	单位	最大值	最小值	基值	格式	精度	序号
0	TorqueRef	N*M	32767	-32767	100	32767	0.01	8199
0	TorqueStep		32767	0	100	32767	0.01	8200
0	CHARGE_CONTACTOR		1	0	1	1	1	8201
0	VACUUM_PUMP		1	0	1	1	1	8202
0	MCU_PRE_CHARGE		1	0	1	1	1	8203
0	MCU_CONTACTOR		1	0	1	1	1	8204
0	FAN_OUT		1	0	1	1	1	8205
0	DCDC_OUT		1	0	1	1	1	8206
0	PTC_OUT		1	0	1	1	1	8207
0	AIR_CONDITIONER		1	0	1	1	1	8208
0	Rs_Cnt		4095	0	1	1	1	8192
0	RelayStatus		32767	0	1	1	1	8209
0	MCUTemp		32767	0	1	10	0.1	8210
0	MotorTemp		32767	0	1	10	0.1	8211
0	BatteryVoltage		32767	0	1	10	0.1	8212
0	MotorSpeed		32767	0	1	10	0.1	8213
0	MotorEleGen		32767	0	1	1	1	8214
0	VehicleSpeed		32767	0	1	1	1	8215
0	BMSCheck		32767	0	1	1	1	8216
0	ChargeConnect		32767	0	1	1	1	8217
0	MCUFault		32767	0	1	1	1	8218
0	BMSFault		32767	0	1	1	1	8219
