名称	单位	基值	格式	精度	序号	位	页
PowerVol	V	55	32767	0.01	0	0	0
SpeedCommand	%	100	32767	0.01	1	0	0
MotorSpeed	%	100	32767	0.01	2	0	0
TorqueCommand	%	100	32767	0.01	3	0	0
VchicleStatus	-	1	1	1	4	0	0
Throttle1	V	5	32767	0.01	5	0	0
Throttle2	V	5	32767	0.01	6	0	0
Throttle_IO	-	1	1	1	7	0	0
VolPrecent	%	100	32767	0.01	8	0	0
Throttle	%	100	32767	0.01	9	0	0
VehiInFault	-	1	1	1	10	0	0
BreakPedal	V	5	32767	0.01	11	0	0
Brake_IO	-	1	1	1	12	0	0
Brake	%	100	32767	0.01	13	0	0
D_N_R	-	1	1	1	14	0	0
MCUFault	-	1	1	1	15	0	0
BMSFault	-	1	1	1	16	0	0
DCDCFault	-	1	1	1	17	0	0
CHARGEFault	-	1	1	1	18	0	0
DISPLAYFault	-	1	1	1	0	0	1
FLASHFault	-	1	1	1	1	0	1
ON	-	1	1	1	2	0	1
Start	-	1	1	1	3	0	1
AC_Switch	-	1	1	1	4	0	1
Charge_Switch	-	1	1	1	5	0	1
PTC_Switch	-	1	1	1	6	0	1
BP_Switch	-	1	1	1	7	0	1
AirLow_Switch	-	1	1	1	8	0	1
AirHigh_Switch	-	1	1	1	9	0	1
CHARGE_CONTACTOR 	-	1	1	1	10	0	1
VACUUM_PUMP	-	1	1	1	11	0	1
MCU_PRE_CHARGE	-	1	1	1	12	0	1
MCU_CONTACTOR	-	1	1	1	13	0	1
FAN_OUT	-	1	1	1	14	0	1
DCDC_OUT	-	1	1	1	15	0	1
PTC_OUT	-	1	1	1	16	0	1
AIR_CONDITIONER	-	1	1	1	17	0	1
PORTA	-	1	1	1	18	0	1
PORTB	-	1	1	1	0	0	2
PORTK	-	1	1	1	1	0	2
ATD0DR0	-	1	1	1	2	0	2
ATD0DR1	-	1	1	1	3	0	2
ATD0DR2	-	1	1	1	4	0	2
ATD0DR3	-	1	1	1	5	0	2
HandBrakeSwitch	-	1	1	1	6	0	2
DisplayState	-	1	1	1	7	0	2
DisplayLIFE	-	1	1	1	8	0	2
MCUState.all	-	1	1	1	9	0	2
MCULIFE	-	1	1	1	10	0	2
MotorCurrent	A	1	10	0.1	11	0	2
MotorSpeed	RMP	1	10	0.1	12	0	2
MotorTorque-10000	NM	1	10	0.1	13	0	2
MCUTemp-400	℃	1	10	0.1	14	0	2
MotorTemp-400	℃	1	10	0.1	15	0	2
BatteryVoltage	V	1	10	0.1	16	0	2
VehicleSpeed	KM/h	1	1	1	17	0	2
MCUFailByte.all	-	1	1	1	18	0	2
MotorMaxDrivPow	KW	1	10	0.1	0	0	3
MotorMaxBrakPow	KW	1	10	0.1	1	0	3
MotorMaxElecTrq	NM	1	10	0.1	2	0	3
MotorMaxBrakTrq	NM	1	10	0.1	3	0	3
BMS_BatteryVoltage	V	1	10	0.1	4	0	3
BMS_BatteryCurrent	A	1	10	0.1	5	0	3
BMS_BatterySOC	%	1	2.5	0.1	6	0	3
BMS_LIFE	-	1	1	1	7	0	3
BMSCheck	-	1	1	1	8	0	3
ChargeConnect	-	1	1	1	9	0	3
ChargeState	-	1	1	1	10	0	3
BatteryStatus1.all	-	1	1	1	11	0	3
BatteryStatus2.all	-	1	1	1	12	0	3
BattAllowMaxTemp-400	℃	1	1	0.1	13	0	3
BattAllowLowSOC	%	4	10	0.1	14	0	3
BatteryMinVol	V	1	100	0.01	15	0	3
BatteryMaxVol	V	1	100	0.01	16	0	3
