Net Status Report
Filename     : E:\bms bcm\feisi\整车控制器 板子 原理图 改后\VCU_1_3\PCB图.PcbDoc
Date         : 2016/8/23
Time         : 15:09:52
Time Elapsed : 00:00:00

Nets, Layer, Length
    +12V, Signal Layers Only, 83.4241mm
    +5V, Signal Layers Only, 44.4349mm
    0~5VA, Signal Layers Only, 0mm
    0~5VB, Signal Layers Only, 0mm
    3V3, Signal Layers Only, 54.2325mm
    485+, Signal Layers Only, 3.9338mm
    485-, Signal Layers Only, 4.1947mm
    A1, Signal Layers Only, 0mm
    A2, Signal Layers Only, 0mm
    A3, Signal Layers Only, 0mm
    A4, Signal Layers Only, 0mm
    AD1, Signal Layers Only, 0mm
    AD2, Signal Layers Only, 0mm
    AD3, Signal Layers Only, 0mm
    AGND, Signal Layers Only, 37.691mm
    AN0, Signal Layers Only, 4.3896mm
    AN1, Signal Layers Only, 9.0389mm
    AN10, Signal Layers Only, 0mm
    AN11, Signal Layers Only, 0mm
    AN12, Signal Layers Only, 4.5646mm
    AN13, Signal Layers Only, 0mm
    AN14, Signal Layers Only, 0mm
    AN15, Signal Layers Only, 0mm
    AN16, Signal Layers Only, 0mm
    AN17, Signal Layers Only, 0mm
    AN18, Signal Layers Only, 0mm
    AN19, Signal Layers Only, 0mm
    AN2, Signal Layers Only, 8.8743mm
    AN20, Signal Layers Only, 0mm
    AN21, Signal Layers Only, 0mm
    AN22, Signal Layers Only, 0mm
    AN23, Signal Layers Only, 0mm
    AN3, Signal Layers Only, 4.4366mm
    AN4, Signal Layers Only, 11.7506mm
    AN5, Signal Layers Only, 13.2mm
    AN6, Signal Layers Only, 4.3702mm
    AN7, Signal Layers Only, 0mm
    AN8, Signal Layers Only, 0mm
    AN9, Signal Layers Only, 0mm
    BKGD, Signal Layers Only, 3.2739mm
    BRAKE, Signal Layers Only, 0mm
    CANH1, Signal Layers Only, 17.1362mm
    CANH2, Signal Layers Only, 10.1636mm
    CANH3, Signal Layers Only, 11.1858mm
    CANL1, Signal Layers Only, 11.3607mm
    CANL2, Signal Layers Only, 10.6611mm
    CANL3, Signal Layers Only, 10.7219mm
    EV_BAT, Signal Layers Only, 11.033mm
    EV_BAT_K, Signal Layers Only, 0mm
    GND, Signal Layers Only, 219.1052mm
    IN1, Signal Layers Only, 1.103mm
    IN10, Signal Layers Only, 0mm
    IN11, Signal Layers Only, 0mm
    IN12, Signal Layers Only, 0mm
    IN13, Signal Layers Only, 0mm
    IN14, Signal Layers Only, 0mm
    IN15, Signal Layers Only, 0mm
    IN16, Signal Layers Only, 0mm
    IN2, Signal Layers Only, 1.103mm
    IN3, Signal Layers Only, 0mm
    IN4, Signal Layers Only, 0.976mm
    IN5, Signal Layers Only, 0.722mm
    IN6, Signal Layers Only, 1.3134mm
    IN7, Signal Layers Only, 0mm
    IN8, Signal Layers Only, 0mm
    IN9, Signal Layers Only, 0mm
    J1_3, Signal Layers Only, 0mm
